,Sentence,YTest,YPred
0,The aviator maneuvered the jet.,0.916666666666667,0.5838139057159424
1,The jet maneuvered the aviator.,0.0925925925925926,0.5838139057159424
2,The friend donned the pullover.,0.883333333333333,0.5838139057159424
3,The pullover donned the friend.,0.16,0.5838139057159424
4,The confectioner sprinkled the sugar.,0.9523809523809521,0.5838139057159424
5,The sugar sprinkled the confectioner.,0.0072463768115942,0.5838139057159424
6,The milliner adorned the fedora.,0.816666666666667,0.5838139057159424
7,The fedora adorned the milliner.,0.3666666666666671,0.5838139057159424
8,The librarian admonished the plagiarist.,0.803030303030303,0.5838139057159424
9,The plagiarist admonished the librarian.,0.5,0.5838139057159424
10,The count inherited the painting.,0.6736111111111109,0.5838139057159424
11,The painting inherited the count.,0.0802469135802469,0.5838139057159424
12,The deceiver imitated the conqueror.,0.716666666666667,0.5838139057159424
13,The conqueror imitated the deceiver.,0.506666666666667,0.5838139057159424
14,The panelist congratulated the winner.,0.9907407407407409,0.5838139057159424
15,The winner congratulated the panelist.,0.5083333333333329,0.5838139057159424
16,The smuggler bribed the bureaucrat.,0.9066666666666671,0.5838139057159424
17,The bureaucrat bribed the smuggler.,0.7272727272727271,0.5838139057159424
18,The artisan trained the apprentice.,0.9492753623188409,0.5838139057159424
19,The apprentice trained the artisan.,0.21739130434782603,0.5838139057159424
20,The doctor closed the school.,0.553030303030303,0.5838139057159424
21,The school closed the doctor.,0.008771929824561391,0.5838139057159424
22,The villager cultivated the crop.,0.962121212121212,0.5838139057159424
23,The crop cultivated the villager.,0.0579710144927536,0.5838139057159424
24,The king exiled the rebel.,0.8478260869565221,0.5838139057159424
25,The rebel exiled the king.,0.432098765432099,0.5838139057159424
26,The nanny tutored the boy.,0.96969696969697,0.5838139057159424
27,The boy tutored the nanny.,0.3666666666666671,0.5838139057159424
28,The adventurer requested the beverage.,0.8888888888888891,0.5838139057159424
29,The beverage requested the adventurer.,0.0733333333333333,0.5838139057159424
30,The banker funded the program.,0.9393939393939391,0.5838139057159424
31,The program funded the banker.,0.430555555555556,0.5838139057159424
32,The woodworker skimmed the brochure.,0.8840579710144929,0.5838139057159424
33,The brochure skimmed the woodworker.,0.0493827160493827,0.5838139057159424
34,The marauder contracted the disease.,0.78,0.5838139057159424
35,The disease contracted the marauder.,0.0733333333333333,0.5838139057159424
36,The windbag taunted the recluse.,0.46212121212121204,0.5838139057159424
37,The recluse taunted the windbag.,0.36231884057971003,0.5838139057159424
38,The hacker memorized the password.,0.9652777777777779,0.5838139057159424
39,The password memorized the hacker.,0.0454545454545454,0.5838139057159424
40,The policewoman handcuffed the offender.,0.986666666666667,0.5838139057159424
41,The offender handcuffed the policewoman.,0.27333333333333304,0.5838139057159424
42,The stewardess pulled the suitcase.,0.9393939393939391,0.5838139057159424
43,The suitcase pulled the stewardess.,0.0694444444444445,0.5838139057159424
44,The flight-attendant dragged the luggage.,0.925,0.5838139057159424
45,The luggage dragged the flight-attendant.,0.15909090909090898,0.5838139057159424
46,The principal scolded the child.,0.958333333333333,0.5838139057159424
47,The child scolded the principal.,0.347222222222222,0.5838139057159424
48,The overseer provided the alcohol.,0.686666666666667,0.5838139057159424
49,The alcohol provided the overseer.,0.0833333333333333,0.5838139057159424
50,The shark mauled the snorkeler.,0.876543209876543,0.571272075176239
51,The snorkeler mauled the shark.,0.31060606060606105,0.5798120498657227
52,The drunk bothered the visitor.,0.9202898550724641,0.6486254334449768
53,The visitor bothered the drunk.,0.8148148148148149,0.6446057558059692
54,The tennis player thanked the chiropractor.,0.942028985507246,0.5984503626823425
55,The chiropractor thanked the tennis player.,0.706666666666667,0.604377031326294
56,The attorney interrogated the bystander.,0.871212121212121,0.6059861779212952
57,The bystander interrogated the attorney.,0.409722222222222,0.6068460941314697
58,The sightseer misplaced the memento.,0.916666666666667,0.6314204931259155
59,The memento misplaced the sightseer.,0.10869565217391301,0.6333646178245544
60,The paparazzi stalked the pop star.,0.958333333333333,0.57496178150177
61,The pop star stalked the paparazzi.,0.21739130434782603,0.571135938167572
62,The assistant principal expelled the sociopath.,0.793650793650794,0.7424299716949463
63,The sociopath expelled the assistant principal.,0.196969696969697,0.738196849822998
64,The judge praised the gold medalist.,0.944444444444445,0.579445481300354
65,The gold medalist praised the judge.,0.8472222222222221,0.5788451433181763
66,The diver recharged the battery.,0.856060606060606,0.5007604956626892
67,The battery recharged the diver.,0.0277777777777778,0.49289441108703613
68,The caretaker quieted the orphan.,0.9236111111111109,0.5819162130355835
69,The orphan quieted the caretaker.,0.537878787878788,0.5792149901390076
70,The dietitian loathed the jam.,0.833333333333333,0.5481536388397217
71,The jam loathed the dietitian.,0.00757575757575757,0.5357664823532104
72,The president pardoned the traitor.,0.8863636363636359,0.5505990982055664
73,The traitor pardoned the president.,0.0869565217391304,0.549121618270874
74,The lawyer questioned the witness.,1.0,0.52213454246521
75,The witness questioned the lawyer.,0.421052631578947,0.5122458934783936
76,The cashier billed the senior citizen.,0.946969696969697,0.6520420908927917
77,The senior citizen billed the cashier.,0.24,0.6329789757728577
78,The roommate adopted the newborn.,0.8409090909090909,0.5631304383277893
79,The newborn adopted the roommate.,0.0277777777777778,0.5554258823394775
80,The comedian confirmed the itinerary.,0.8402777777777779,0.5788736939430237
81,The itinerary confirmed the comedian.,0.23809523809523803,0.5797591805458069
82,The king exiled the rebel.,0.8478260869565221,0.6048192381858826
83,The rebel exiled the king.,0.432098765432099,0.6072500348091125
84,The skipper guaranteed the victory.,0.805555555555555,0.6342409253120422
85,The victory guaranteed the skipper.,0.0902777777777778,0.6042090654373169
86,The painter depicted the thinker.,0.8947368421052628,0.5903717279434204
87,The thinker depicted the painter.,0.45454545454545503,0.6045079827308655
88,The negotiator saved the captive.,0.944444444444445,0.6104085445404053
89,The captive saved the negotiator.,0.4333333333333329,0.6081963181495667
90,The lord named the heir.,0.930555555555555,0.5416604280471802
91,The heir named the lord.,0.45454545454545503,0.540056049823761
92,The uncle hung the ornament.,0.9861111111111109,0.501623272895813
93,The ornament hung the uncle.,0.00757575757575757,0.5155195593833923
94,The marauder contracted the disease.,0.78,0.5918373465538025
95,The disease contracted the marauder.,0.0733333333333333,0.5682951211929321
96,The Frenchman sliced the baguette.,0.92,0.56535404920578
97,The baguette sliced the Frenchman.,0.0733333333333333,0.5662209987640381
98,The sheriff inspected the estate.,0.9015151515151508,0.49364331364631653
99,The estate inspected the sheriff.,0.138888888888889,0.49590209126472473
100,The genius shocked the cousin.,0.826086956521739,0.7095631957054138
101,The cousin shocked the genius.,0.726666666666667,0.7348904609680176
102,The cardiologist discredited the quack.,0.7971014492753621,0.593862771987915
103,The quack discredited the cardiologist.,0.46296296296296297,0.5653131008148193
104,The marcher sang the anthem.,0.881944444444445,0.41855520009994507
105,The anthem sang the marcher.,0.0462962962962963,0.3339928984642029
106,The liar emulated the victor.,0.712121212121212,0.4810778796672821
107,The victor emulated the liar.,0.7173913043478259,0.5308955907821655
108,The librarian admonished the plagiarist.,0.803030303030303,0.5613807439804077
109,The plagiarist admonished the librarian.,0.5,0.5460636615753174
110,The producer cast the actress.,0.9492753623188409,0.6541457772254944
111,The actress cast the producer.,0.18666666666666698,0.6844035983085632
112,The experimenter recruited the subject.,0.856060606060606,0.660370945930481
113,The subject recruited the experimenter.,0.203703703703704,0.5854793787002563
