,Dataset,Model,VoiceType,TrialType,Layer,Iteration,Accuracy,Plot
0,DTFit,bert-large-cased,normal,normal,1,1,0.5,BERT DTFit
1,DTFit,bert-large-cased,normal,normal,1,2,0.5,BERT DTFit
2,DTFit,bert-large-cased,normal,normal,1,3,0.5,BERT DTFit
3,DTFit,bert-large-cased,normal,normal,1,4,0.5,BERT DTFit
4,DTFit,bert-large-cased,normal,normal,1,5,0.5,BERT DTFit
5,DTFit,bert-large-cased,normal,normal,1,6,0.5,BERT DTFit
6,DTFit,bert-large-cased,normal,normal,1,7,0.5,BERT DTFit
7,DTFit,bert-large-cased,normal,normal,1,8,0.5,BERT DTFit
8,DTFit,bert-large-cased,normal,normal,1,9,0.5,BERT DTFit
9,DTFit,bert-large-cased,normal,normal,1,10,0.5,BERT DTFit
10,DTFit,bert-large-cased,normal,normal,2,1,0.6875,BERT DTFit
11,DTFit,bert-large-cased,normal,normal,2,2,0.5625,BERT DTFit
12,DTFit,bert-large-cased,normal,normal,2,3,0.575,BERT DTFit
13,DTFit,bert-large-cased,normal,normal,2,4,0.6375,BERT DTFit
14,DTFit,bert-large-cased,normal,normal,2,5,0.5875,BERT DTFit
15,DTFit,bert-large-cased,normal,normal,2,6,0.6,BERT DTFit
16,DTFit,bert-large-cased,normal,normal,2,7,0.625,BERT DTFit
17,DTFit,bert-large-cased,normal,normal,2,8,0.6282051282051282,BERT DTFit
18,DTFit,bert-large-cased,normal,normal,2,9,0.6153846153846154,BERT DTFit
19,DTFit,bert-large-cased,normal,normal,2,10,0.6282051282051282,BERT DTFit
20,DTFit,bert-large-cased,normal,normal,3,1,0.6125,BERT DTFit
21,DTFit,bert-large-cased,normal,normal,3,2,0.6,BERT DTFit
22,DTFit,bert-large-cased,normal,normal,3,3,0.675,BERT DTFit
23,DTFit,bert-large-cased,normal,normal,3,4,0.625,BERT DTFit
24,DTFit,bert-large-cased,normal,normal,3,5,0.6625,BERT DTFit
25,DTFit,bert-large-cased,normal,normal,3,6,0.675,BERT DTFit
26,DTFit,bert-large-cased,normal,normal,3,7,0.65,BERT DTFit
27,DTFit,bert-large-cased,normal,normal,3,8,0.6666666666666666,BERT DTFit
28,DTFit,bert-large-cased,normal,normal,3,9,0.6794871794871795,BERT DTFit
29,DTFit,bert-large-cased,normal,normal,3,10,0.5769230769230769,BERT DTFit
30,DTFit,bert-large-cased,normal,normal,4,1,0.6125,BERT DTFit
31,DTFit,bert-large-cased,normal,normal,4,2,0.7,BERT DTFit
32,DTFit,bert-large-cased,normal,normal,4,3,0.6375,BERT DTFit
33,DTFit,bert-large-cased,normal,normal,4,4,0.7,BERT DTFit
34,DTFit,bert-large-cased,normal,normal,4,5,0.65,BERT DTFit
35,DTFit,bert-large-cased,normal,normal,4,6,0.65,BERT DTFit
36,DTFit,bert-large-cased,normal,normal,4,7,0.725,BERT DTFit
37,DTFit,bert-large-cased,normal,normal,4,8,0.6282051282051282,BERT DTFit
38,DTFit,bert-large-cased,normal,normal,4,9,0.6538461538461539,BERT DTFit
39,DTFit,bert-large-cased,normal,normal,4,10,0.6794871794871795,BERT DTFit
40,DTFit,bert-large-cased,normal,normal,5,1,0.675,BERT DTFit
41,DTFit,bert-large-cased,normal,normal,5,2,0.65,BERT DTFit
42,DTFit,bert-large-cased,normal,normal,5,3,0.65,BERT DTFit
43,DTFit,bert-large-cased,normal,normal,5,4,0.6875,BERT DTFit
44,DTFit,bert-large-cased,normal,normal,5,5,0.7,BERT DTFit
45,DTFit,bert-large-cased,normal,normal,5,6,0.6,BERT DTFit
46,DTFit,bert-large-cased,normal,normal,5,7,0.675,BERT DTFit
47,DTFit,bert-large-cased,normal,normal,5,8,0.6153846153846154,BERT DTFit
48,DTFit,bert-large-cased,normal,normal,5,9,0.5897435897435898,BERT DTFit
49,DTFit,bert-large-cased,normal,normal,5,10,0.6538461538461539,BERT DTFit
50,DTFit,bert-large-cased,normal,normal,6,1,0.6625,BERT DTFit
51,DTFit,bert-large-cased,normal,normal,6,2,0.6875,BERT DTFit
52,DTFit,bert-large-cased,normal,normal,6,3,0.65,BERT DTFit
53,DTFit,bert-large-cased,normal,normal,6,4,0.625,BERT DTFit
54,DTFit,bert-large-cased,normal,normal,6,5,0.6875,BERT DTFit
55,DTFit,bert-large-cased,normal,normal,6,6,0.6875,BERT DTFit
56,DTFit,bert-large-cased,normal,normal,6,7,0.6875,BERT DTFit
57,DTFit,bert-large-cased,normal,normal,6,8,0.6666666666666666,BERT DTFit
58,DTFit,bert-large-cased,normal,normal,6,9,0.6923076923076923,BERT DTFit
59,DTFit,bert-large-cased,normal,normal,6,10,0.6666666666666666,BERT DTFit
60,DTFit,bert-large-cased,normal,normal,7,1,0.65,BERT DTFit
61,DTFit,bert-large-cased,normal,normal,7,2,0.75,BERT DTFit
62,DTFit,bert-large-cased,normal,normal,7,3,0.7375,BERT DTFit
63,DTFit,bert-large-cased,normal,normal,7,4,0.675,BERT DTFit
64,DTFit,bert-large-cased,normal,normal,7,5,0.7125,BERT DTFit
65,DTFit,bert-large-cased,normal,normal,7,6,0.65,BERT DTFit
66,DTFit,bert-large-cased,normal,normal,7,7,0.6625,BERT DTFit
